Id,Code,Code slug,Number,Name,Created at,Updated at
8837,CGS 151  PZ,CGS-151-PZ,151,Global Peace and Conflicts    ,2023-11-07 22:03:40 UTC,2023-11-07 22:03:40 UTC
8836,EA  129  PZ,EA-129-PZ,129,Environmental Law    ,2023-11-07 22:00:59 UTC,2023-11-07 22:00:59 UTC
8835,BIOL142L KS,BIOL142L-KS,142,Human Anatomy With Lab    ,2023-11-07 22:00:04 UTC,2023-11-07 22:00:04 UTC
8834,BIOL057LXKS,BIOL057LXKS,57,Concepts in Biology Lab    ,2023-11-07 22:00:04 UTC,2023-11-07 22:00:04 UTC
8833,ART 140  PO,ART-140-PO,140,Metal Casting    ,2023-11-07 21:59:45 UTC,2023-11-07 21:59:45 UTC
8832,ENGL154  SC,ENGL154-SC,154,The Native American Novel    ,2023-11-07 21:59:39 UTC,2023-11-07 21:59:39 UTC
8831,THEA171  PO,THEA171-PO,171,Introduction to Dramatic Writing    ,2023-10-31 20:44:32 UTC,2023-10-31 20:44:32 UTC
8830,THEA132  PO,THEA132-PO,132,Advanced Directing    ,2023-10-31 20:44:32 UTC,2023-10-31 20:44:32 UTC
8829,SOC 189Z PO,SOC-189Z-PO,189,Sociology of (Non)Citizenship    ,2023-10-31 20:44:23 UTC,2023-10-31 20:44:23 UTC
8828,PSYC189Q PO,PSYC189Q-PO,189,Qualitative Methods    ,2023-10-31 20:44:12 UTC,2023-10-31 20:44:12 UTC
8827,MS  072  PO,MS-072-PO,72,Representing Britain    ,2023-10-31 20:43:07 UTC,2023-10-31 20:43:07 UTC
8826,LGCS188  PO,LGCS188-PO,188,Topics in Phonetics    ,2023-10-31 20:42:49 UTC,2023-10-31 20:42:49 UTC
8825,LGCS145  PO,LGCS145-PO,145,Acquisition of Semantics    ,2023-10-31 20:42:49 UTC,2023-10-31 20:42:49 UTC
8824,FREN107  PO,FREN107-PO,107,Francophone Futurity    ,2023-10-31 20:42:09 UTC,2023-10-31 20:42:09 UTC
8823,BIOL152  PO,BIOL152-PO,152,Population and Quant. Genetics    ,2023-10-31 20:41:04 UTC,2023-10-31 20:41:04 UTC
8822,ASTR128  HM,ASTR128-HM,128,PlanetDynamics&EarthClimateHist    ,2023-10-31 20:40:55 UTC,2023-10-31 20:40:55 UTC
8821,ORST089  PZ,ORST089-PZ,89,Qi Gong & Embodied Learning    ,2023-10-31 20:40:50 UTC,2023-10-31 20:40:50 UTC
8820,ANTH077  PO,ANTH077-PO,77,The Unseen & The Unknown    ,2023-10-31 20:40:43 UTC,2023-10-31 20:40:43 UTC
8819,ANTH015  PO,ANTH015-PO,15,Data and Society    ,2023-10-31 20:40:43 UTC,2023-10-31 20:40:43 UTC
8818,SCI 119  CM,SCI-119-CM,119,The Senses    ,2023-10-31 05:27:54 UTC,2023-10-31 05:27:54 UTC
8817,SCI 050L CM,SCI-050L-CM,50,Computing for Discovery    ,2023-10-31 05:27:54 UTC,2023-10-31 05:27:54 UTC
8816,SOC 072  PZ,SOC-072-PZ,72,Hidden: US & Soviet Colonialism    ,2023-10-31 05:27:37 UTC,2023-10-31 05:27:37 UTC
8815,SOC 061  PZ,SOC-061-PZ,61,Environmental Sociology    ,2023-10-31 05:27:37 UTC,2023-10-31 05:27:37 UTC
8814,XGOV192  CM,XGOV192-CM,192,Senior Thesis in Government - Senior Thesis in Int'l Relations    ,2023-10-31 05:27:35 UTC,2023-10-31 05:27:35 UTC
8813,RLST185  SC,RLST185-SC,185,God on Trial: Free Will & Evil    ,2023-10-31 05:27:30 UTC,2023-10-31 05:27:30 UTC
8812,RLST126  CM,RLST126-CM,126,Islam and the End of Time    ,2023-10-31 05:27:30 UTC,2023-10-31 05:27:30 UTC
8811,RLST038  CM,RLST038-CM,38,Christianity and Medicine    ,2023-10-31 05:27:30 UTC,2023-10-31 05:27:30 UTC
8810,PSYC180F PO,PSYC180F-PO,180,Seminar in Forensic Psychology    ,2023-10-31 05:27:27 UTC,2023-10-31 05:27:27 UTC
8809,PSYC179O HM,PSYC179O-HM,179,The MANthropocene  / Special Topics in Psychology  ,2023-10-31 05:27:27 UTC,2023-10-31 05:27:27 UTC
8808,PSYC175  SC,PSYC175-SC,175,Theories of Psychotherapy    ,2023-10-31 05:27:27 UTC,2023-10-31 05:27:27 UTC
8807,PSYC134  HM,PSYC134-HM,134,Human Nature and Genocide    ,2023-10-31 05:27:27 UTC,2023-10-31 05:27:27 UTC
8806,PSYC113  SC,PSYC113-SC,113,Human Development in Context    ,2023-10-31 05:27:27 UTC,2023-10-31 05:27:27 UTC
8805,CASA200  PZ,CASA200-PZ,200,Racial/Ethnic & Immigrnt Justice    ,2023-10-31 05:27:27 UTC,2023-10-31 05:27:27 UTC
8804,PE  257  JP,PE-257-JP,257,Basketball Club-Women    ,2023-10-31 05:27:06 UTC,2023-10-31 05:27:06 UTC
8803,PE  095G JP,PE-095G-JP,95,Studio: Fit Rituals    ,2023-10-31 05:27:06 UTC,2023-10-31 05:27:06 UTC
8802,PHIL136  SC,PHIL136-SC,136,Philosophy of Time    ,2023-10-31 05:26:50 UTC,2023-10-31 05:26:50 UTC
8801,PHIL126  SC,PHIL126-SC,126,Metaphysics    ,2023-10-31 05:26:50 UTC,2023-10-31 05:26:50 UTC
